reservation_id,user_id,room_id,check_in,check_out,nights,guests,booking_date,booking_channel,status,price_per_night,total_price
104,307,120,2023-07-01,2023-07-04,3,1,2023-05-10,web,confirmed,129.17,387.52
1390,484,121,2023-07-01,2023-07-05,4,3,2023-05-04,web,confirmed,61.99,247.94
1992,358,122,2023-07-01,2023-07-02,1,3,2023-05-10,agency,confirmed,95.27,95.27
2030,574,123,2023-07-01,2023-07-02,1,3,2023-07-01,phone,confirmed,173.54,173.54
2029,142,124,2023-07-01,2023-07-02,1,4,2023-05-20,phone,confirmed,149.4,149.4
1803,789,125,2023-07-01,2023-07-02,1,2,2023-06-01,web,confirmed,102.4,102.4
1916,345,126,2023-07-01,2023-07-03,2,1,2023-06-05,agency,confirmed,62.33,124.65
436,113,127,2023-07-01,2023-07-05,4,2,2023-06-14,phone,confirmed,68.38,273.5
2020,444,128,2023-07-01,2023-07-02,1,1,2023-05-08,phone,confirmed,179.62,179.62
2008,244,129,2023-07-01,2023-07-02,1,2,2023-05-13,mobile_app,confirmed,129.24,129.24
1892,557,130,2023-07-01,2023-07-03,2,4,2023-06-25,web,confirmed,109.31,218.61
407,199,131,2023-07-01,2023-07-02,1,3,2023-06-24,phone,confirmed,137.23,137.23
1484,457,132,2023-07-01,2023-07-03,2,3,2023-05-20,agency,confirmed,115.63,231.26
1100,669,133,2023-07-01,2023-07-03,2,4,2023-06-04,web,confirmed,153.99,307.99
307,501,134,2023-07-01,2023-07-04,3,1,2023-06-26,phone,confirmed,121.21,363.64
1203,335,135,2023-07-01,2023-07-04,3,3,2023-05-12,phone,confirmed,96.34,289.01
2032,132,136,2023-07-01,2023-07-02,1,3,2023-05-16,web,confirmed,67.24,67.24
2024,775,137,2023-07-01,2023-07-02,1,4,2023-05-18,agency,confirmed,81.05,81.05
1698,368,138,2023-07-01,2023-07-03,2,1,2023-06-21,mobile_app,confirmed,172.95,345.89
114,92,139,2023-07-01,2023-07-05,4,2,2023-06-03,web,confirmed,84.0,335.99
1789,335,140,2023-07-01,2023-07-03,2,4,2023-05-03,web,confirmed,88.92,177.84
2042,208,141,2023-07-01,2023-07-02,1,1,2023-06-23,web,confirmed,85.54,85.54
1693,479,142,2023-07-01,2023-07-02,1,3,2023-06-28,web,confirmed,167.69,167.69
1552,31,143,2023-07-01,2023-07-04,3,3,2023-06-15,agency,confirmed,160.02,480.06
2005,708,144,2023-07-01,2023-07-02,1,2,2023-06-19,phone,confirmed,119.35,119.35
819,598,145,2023-07-01,2023-07-03,2,2,2023-06-23,phone,confirmed,116.41,232.83
1844,717,146,2023-07-01,2023-07-03,2,4,2023-05-05,web,confirmed,174.65,349.3
2028,490,147,2023-07-01,2023-07-02,1,4,2023-06-03,agency,confirmed,103.98,103.98
1582,103,148,2023-07-01,2023-07-04,3,4,2023-06-11,web,confirmed,74.96,224.88
1959,66,149,2023-07-01,2023-07-02,1,3,2023-06-27,phone,confirmed,126.48,126.48
2031,231,150,2023-07-01,2023-07-02,1,2,2023-05-27,agency,confirmed,149.36,149.36
509,419,1,2023-07-02,2023-07-07,5,4,2023-05-22,mobile_app,confirmed,99.46,497.28
1014,381,4,2023-07-02,2023-07-06,4,2,2023-05-11,mobile_app,confirmed,70.41,281.64
985,403,5,2023-07-02,2023-07-03,1,2,2023-05-09,mobile_app,confirmed,83.43,83.43
117,284,6,2023-07-02,2023-07-07,5,2,2023-05-23,phone,confirmed,106.28,531.38
322,29,8,2023-07-02,2023-07-06,4,2,2023-05-06,phone,confirmed,71.5,286.01
860,17,10,2023-07-02,2023-07-06,4,2,2023-06-12,mobile_app,confirmed,152.05,608.19
828,76,11,2023-07-02,2023-07-08,6,2,2023-05-09,mobile_app,confirmed,97.04,582.21
1900,573,15,2023-07-02,2023-07-03,1,4,2023-06-03,phone,confirmed,84.23,84.23
326,13,17,2023-07-02,2023-07-06,4,4,2023-06-29,web,confirmed,147.77,591.07
139,101,18,2023-07-02,2023-07-03,1,3,2023-06-16,mobile_app,confirmed,168.78,168.78
1610,351,21,2023-07-02,2023-07-04,2,2,2023-06-15,mobile_app,confirmed,123.93,247.86
216,172,22,2023-07-02,2023-07-05,3,1,2023-05-18,mobile_app,confirmed,63.1,189.3
1082,696,25,2023-07-02,2023-07-03,1,4,2023-05-26,agency,confirmed,115.41,115.41
1462,513,26,2023-07-02,2023-07-05,3,3,2023-06-11,web,confirmed,171.4,514.21
30,139,27,2023-07-02,2023-07-07,5,3,2023-05-20,agency,confirmed,144.49,722.47
1779,202,30,2023-07-02,2023-07-03,1,4,2023-06-16,agency,confirmed,117.59,117.59
1142,550,31,2023-07-02,2023-07-04,2,4,2023-06-23,web,confirmed,112.91,225.81
173,753,32,2023-07-02,2023-07-06,4,1,2023-05-23,mobile_app,confirmed,133.0,532.02
343,111,34,2023-07-02,2023-07-08,6,3,2023-06-04,agency,confirmed,155.7,934.17
1954,108,37,2023-07-02,2023-07-03,1,1,2023-06-08,mobile_app,confirmed,104.1,104.1
1081,269,41,2023-07-02,2023-07-07,5,1,2023-06-25,phone,confirmed,61.02,305.12
1761,506,45,2023-07-02,2023-07-03,1,4,2023-06-02,web,confirmed,87.92,87.92
1386,460,47,2023-07-02,2023-07-05,3,3,2023-06-30,web,confirmed,148.98,446.93
1958,612,49,2023-07-02,2023-07-03,1,4,2023-06-22,phone,confirmed,82.25,82.25
558,798,51,2023-07-02,2023-07-06,4,2,2023-06-03,web,confirmed,146.79,587.15
1828,586,53,2023-07-02,2023-07-03,1,4,2023-06-06,agency,confirmed,130.66,130.66
1424,144,54,2023-07-02,2023-07-05,3,3,2023-05-31,web,confirmed,106.24,318.73
1178,518,56,2023-07-02,2023-07-04,2,2,2023-05-31,phone,confirmed,147.57,295.14
1771,370,57,2023-07-02,2023-07-03,1,2,2023-06-01,web,confirmed,104.14,104.14
725,476,59,2023-07-02,2023-07-06,4,3,2023-06-18,web,confirmed,153.37,613.49
1041,76,60,2023-07-02,2023-07-06,4,4,2023-05-28,agency,confirmed,128.73,514.94
1241,239,62,2023-07-02,2023-07-06,4,3,2023-06-05,mobile_app,confirmed,158.51,634.03
1096,683,63,2023-07-02,2023-07-04,2,4,2023-06-14,mobile_app,confirmed,172.28,344.55
943,320,65,2023-07-02,2023-07-06,4,4,2023-05-26,agency,confirmed,106.26,425.04
523,59,67,2023-07-02,2023-07-03,1,4,2023-06-30,agency,confirmed,61.76,61.76
1409,322,68,2023-07-02,2023-07-04,2,1,2023-06-09,phone,confirmed,134.14,268.28
1906,519,69,2023-07-02,2023-07-03,1,2,2023-05-05,agency,confirmed,172.04,172.04
546,198,71,2023-07-02,2023-07-05,3,3,2023-05-25,mobile_app,confirmed,95.25,285.76
418,768,72,2023-07-02,2023-07-04,2,3,2023-06-21,web,confirmed,93.67,187.34
378,500,73,2023-07-02,2023-07-06,4,2,2023-05-04,mobile_app,confirmed,175.71,702.83
179,454,74,2023-07-02,2023-07-06,4,2,2023-06-08,mobile_app,confirmed,154.08,616.32
559,746,75,2023-07-02,2023-07-06,4,3,2023-05-10,web,confirmed,120.56,482.24
282,686,77,2023-07-02,2023-07-07,5,1,2023-05-13,agency,confirmed,100.05,500.25
109,228,78,2023-07-02,2023-07-08,6,2,2023-07-01,web,confirmed,114.56,687.34
951,219,81,2023-07-02,2023-07-04,2,1,2023-05-15,phone,confirmed,68.46,136.91
340,203,82,2023-07-02,2023-07-06,4,3,2023-05-26,phone,confirmed,165.47,661.9
1919,297,84,2023-07-02,2023-07-03,1,4,2023-06-10,agency,confirmed,86.09,86.09
844,195,86,2023-07-02,2023-07-07,5,2,2023-06-22,agency,confirmed,169.02,845.12
1968,366,91,2023-07-02,2023-07-03,1,4,2023-05-24,mobile_app,confirmed,68.13,68.13
628,391,92,2023-07-02,2023-07-03,1,1,2023-05-23,mobile_app,confirmed,102.58,102.58
1315,112,98,2023-07-02,2023-07-06,4,4,2023-06-17,agency,confirmed,172.85,691.41
381,734,100,2023-07-02,2023-07-06,4,3,2023-05-29,agency,confirmed,113.34,453.37
1938,566,101,2023-07-02,2023-07-03,1,4,2023-06-03,web,confirmed,136.72,136.72
1697,623,102,2023-07-02,2023-07-04,2,3,2023-05-25,mobile_app,confirmed,69.91,139.82
528,273,106,2023-07-02,2023-07-05,3,4,2023-06-01,agency,confirmed,89.32,267.95
906,723,108,2023-07-02,2023-07-05,3,1,2023-05-18,phone,confirmed,100.22,300.66
534,326,109,2023-07-02,2023-07-05,3,4,2023-06-30,agency,confirmed,173.59,520.78
1613,516,112,2023-07-02,2023-07-03,1,3,2023-05-29,web,confirmed,67.6,67.6
233,541,116,2023-07-02,2023-07-08,6,3,2023-05-03,agency,confirmed,110.0,659.98
817,184,117,2023-07-02,2023-07-04,2,3,2023-06-06,web,confirmed,178.7,357.39
403,275,122,2023-07-02,2023-07-03,1,2,2023-05-06,web,confirmed,144.28,144.28
311,710,123,2023-07-02,2023-07-05,3,4,2023-05-29,phone,confirmed,108.9,326.69
597,589,124,2023-07-02,2023-07-05,3,2,2023-06-17,phone,confirmed,157.5,472.51
1707,615,125,2023-07-02,2023-07-03,1,3,2023-05-23,phone,confirmed,67.08,67.08
938,445,128,2023-07-02,2023-07-07,5,2,2023-05-06,agency,confirmed,146.23,731.15
752,792,129,2023-07-02,2023-07-06,4,4,2023-05-14,agency,confirmed,179.92,719.68
1979,765,131,2023-07-02,2023-07-03,1,3,2023-06-19,agency,confirmed,79.24,79.24
718,110,136,2023-07-02,2023-07-05,3,1,2023-06-21,mobile_app,confirmed,145.17,435.52
1531,525,137,2023-07-02,2023-07-04,2,3,2023-05-27,phone,confirmed,110.37,220.73
1419,685,141,2023-07-02,2023-07-03,1,2,2023-05-20,mobile_app,confirmed,73.72,73.72
1946,683,142,2023-07-02,2023-07-03,1,3,2023-06-19,web,confirmed,78.97,78.97
834,272,144,2023-07-02,2023-07-05,3,1,2023-07-02,agency,confirmed,84.08,252.25
1659,717,147,2023-07-02,2023-07-03,1,3,2023-06-12,web,confirmed,91.97,91.97
1751,147,149,2023-07-02,2023-07-03,1,2,2023-05-22,phone,confirmed,129.51,129.51
1511,304,150,2023-07-02,2023-07-04,2,3,2023-05-04,phone,confirmed,175.25,350.51
1733,200,2,2023-07-03,2023-07-04,1,2,2023-06-25,web,confirmed,177.62,177.62
1558,800,3,2023-07-03,2023-07-04,1,4,2023-06-24,agency,confirmed,165.66,165.66
1466,294,5,2023-07-03,2023-07-04,1,4,2023-06-27,web,confirmed,174.39,174.39
1113,137,12,2023-07-03,2023-07-04,1,2,2023-06-04,agency,confirmed,86.53,86.53
483,159,15,2023-07-03,2023-07-10,7,4,2023-05-10,agency,confirmed,130.21,911.45
924,201,18,2023-07-03,2023-07-06,3,2,2023-05-12,agency,confirmed,175.35,526.05
701,521,19,2023-07-03,2023-07-05,2,3,2023-05-30,phone,confirmed,169.17,338.34
16,670,20,2023-07-03,2023-07-08,5,4,2023-06-12,web,confirmed,129.43,647.17
1474,228,25,2023-07-03,2023-07-05,2,3,2023-05-31,mobile_app,confirmed,73.22,146.45
1611,255,28,2023-07-03,2023-07-04,1,1,2023-05-16,phone,confirmed,65.65,65.65
975,160,29,2023-07-03,2023-07-06,3,4,2023-06-01,web,confirmed,151.61,454.82
668,425,30,2023-07-03,2023-07-06,3,3,2023-06-19,phone,confirmed,102.61,307.83
168,236,33,2023-07-03,2023-07-07,4,1,2023-06-11,agency,confirmed,100.02,400.09
1428,335,35,2023-07-03,2023-07-05,2,4,2023-05-30,agency,confirmed,89.79,179.58
1512,462,37,2023-07-03,2023-07-05,2,1,2023-05-16,web,confirmed,148.04,296.07
1343,370,45,2023-07-03,2023-07-05,2,3,2023-06-05,phone,confirmed,156.31,312.63
1349,455,49,2023-07-03,2023-07-06,3,4,2023-05-07,agency,confirmed,167.42,502.26
1762,185,50,2023-07-03,2023-07-04,1,1,2023-05-07,agency,confirmed,174.12,174.12
530,287,53,2023-07-03,2023-07-06,3,4,2023-07-03,phone,confirmed,162.27,486.82
909,390,55,2023-07-03,2023-07-06,3,4,2023-05-27,phone,confirmed,106.44,319.33
280,432,57,2023-07-03,2023-07-07,4,4,2023-05-13,mobile_app,confirmed,148.73,594.91
239,347,58,2023-07-03,2023-07-06,3,2,2023-05-09,web,confirmed,167.7,503.11
419,620,61,2023-07-03,2023-07-07,4,2,2023-05-06,phone,confirmed,138.67,554.67
1488,109,64,2023-07-03,2023-07-05,2,1,2023-06-08,mobile_app,confirmed,148.96,297.92
634,381,66,2023-07-03,2023-07-05,2,1,2023-06-27,mobile_app,confirmed,112.58,225.16
583,768,67,2023-07-03,2023-07-05,2,4,2023-06-05,phone,confirmed,161.02,322.04
351,26,69,2023-07-03,2023-07-04,1,3,2023-06-15,web,confirmed,126.04,126.04
113,233,84,2023-07-03,2023-07-05,2,3,2023-06-14,web,confirmed,126.29,252.58
1535,660,85,2023-07-03,2023-07-04,1,1,2023-05-14,web,confirmed,112.47,112.47
1454,5,91,2023-07-03,2023-07-04,1,1,2023-05-13,web,confirmed,125.85,125.85
574,471,92,2023-07-03,2023-07-06,3,3,2023-05-28,web,confirmed,141.93,425.78
1112,93,94,2023-07-03,2023-07-04,1,2,2023-06-18,mobile_app,confirmed,179.72,179.72
1750,363,97,2023-07-03,2023-07-04,1,3,2023-05-21,web,confirmed,114.29,114.29
855,308,101,2023-07-03,2023-07-05,2,3,2023-05-08,agency,confirmed,110.93,221.86
1435,45,103,2023-07-03,2023-07-06,3,2,2023-05-16,agency,confirmed,173.69,521.06
514,42,104,2023-07-03,2023-07-06,3,3,2023-05-23,phone,confirmed,170.28,510.85
1040,709,105,2023-07-03,2023-07-06,3,4,2023-06-13,phone,confirmed,133.58,400.74
801,528,112,2023-07-03,2023-07-04,1,1,2023-06-29,agency,confirmed,125.13,125.13
1603,414,113,2023-07-03,2023-07-04,1,2,2023-06-04,phone,confirmed,69.59,69.59
417,300,114,2023-07-03,2023-07-07,4,1,2023-06-13,mobile_app,confirmed,108.2,432.79
863,128,115,2023-07-03,2023-07-04,1,2,2023-07-01,web,confirmed,88.23,88.23
1520,301,122,2023-07-03,2023-07-05,2,1,2023-05-19,mobile_app,confirmed,104.45,208.91
394,295,125,2023-07-03,2023-07-04,1,4,2023-06-23,web,confirmed,105.49,105.49
1441,273,126,2023-07-03,2023-07-05,2,1,2023-06-27,agency,confirmed,136.74,273.48
1,574,130,2023-07-03,2023-07-04,1,4,2023-05-20,mobile_app,confirmed,71.57,71.57
327,522,131,2023-07-03,2023-07-06,3,2,2023-06-04,web,confirmed,86.86,260.57
1571,779,132,2023-07-03,2023-07-04,1,1,2023-06-15,phone,confirmed,74.19,74.19
547,78,133,2023-07-03,2023-07-08,5,2,2023-05-24,web,confirmed,128.6,643.0
901,533,138,2023-07-03,2023-07-04,1,3,2023-05-08,web,confirmed,175.38,175.38
404,140,140,2023-07-03,2023-07-06,3,2,2023-05-12,mobile_app,confirmed,114.52,343.56
1020,499,141,2023-07-03,2023-07-08,5,3,2023-05-19,mobile_app,confirmed,175.18,875.88
1755,648,142,2023-07-03,2023-07-04,1,1,2023-05-10,web,confirmed,101.33,101.33
614,3,145,2023-07-03,2023-07-05,2,1,2023-05-19,web,confirmed,157.01,314.02
481,60,146,2023-07-03,2023-07-05,2,2,2023-05-21,web,confirmed,82.27,164.54
1680,199,147,2023-07-03,2023-07-04,1,1,2023-05-04,web,confirmed,62.02,62.02
516,373,149,2023-07-03,2023-07-05,2,3,2023-06-19,mobile_app,confirmed,129.27,258.54
183,385,2,2023-07-04,2023-07-08,4,3,2023-06-02,mobile_app,confirmed,110.23,440.92
292,769,3,2023-07-04,2023-07-05,1,2,2023-06-29,phone,confirmed,109.16,109.16
1868,504,5,2023-07-04,2023-07-05,1,3,2023-06-16,phone,confirmed,154.72,154.72
1260,674,12,2023-07-04,2023-07-05,1,1,2023-06-22,agency,confirmed,62.44,62.44
237,546,13,2023-07-04,2023-07-10,6,4,2023-06-25,web,confirmed,123.53,741.2
1905,13,14,2023-07-04,2023-07-05,1,1,2023-06-03,phone,confirmed,171.77,171.77
1229,782,16,2023-07-04,2023-07-07,3,4,2023-06-19,web,confirmed,76.93,230.8
364,394,21,2023-07-04,2023-07-07,3,1,2023-06-03,agency,confirmed,100.55,301.66
